Data,TDS_mgL,t_anos,doy,vazao_mgd_TDS,vazao_mgd_Chloride,wrtds_fitted_log,wrtds_flow_normalized_log,wrtds_fitted_mgL,wrtds_flow_normalized_mgL,n_efetivo_peso
2021-08-31,784,10.505133470225873,243,5.717772720599031,5.717985611510791,6.56432188145223,6.503126960058707,709.3307227494494,667.2247595936535,52.495535721953786
2021-09-30,816,10.587268993839835,273,6.72094677199417,6.72066120688355,6.550256497838793,6.51092983302449,699.4235514392609,672.45139449795,53.01497531049271
2021-10-31,746,10.67214236824093,304,6.821191840093609,6.821549130122654,6.5616188278341285,6.525199470036511,707.4159528016638,682.1158217493535,53.02215589120625
2021-11-30,790,10.754277891854894,334,7.322799987857816,7.32292215008481,6.566809214804958,6.540319489652957,711.0972607879777,692.507791770923,53.24427091682993
2021-12-31,734,10.839151266255989,365,8.526421369716218,8.526688582908509,6.558203402332818,6.550720042978562,705.0039476730401,699.7478409827845,53.47852484871785
2022-01-31,742,10.924024640657084,31,9.83051833465842,9.830524841871467,6.5461660461110736,6.55651755054458,696.568436500717,703.8164167889291,53.266635967984406
2022-02-28,762,11.000684462696784,59,8.526564575111564,8.52677857713829,6.564706693023096,6.556836403554141,709.6037339446985,704.0408665529403,52.945287912663154
2022-03-31,764,11.085557837097879,90,7.322780519040265,7.322603455696981,6.581746372971319,6.553837203567674,721.7987590555333,701.9324705266232,51.89215080918427
2022-04-30,722,11.16769336071184,120,9.228628177790178,9.228507604875006,6.5416481920305145,6.544072117380953,693.4285400851022,695.1113978389602,51.24511813350977
2022-05-31,742,11.252566735112936,151,8.225548940901188,8.225266920221785,6.538601460545795,6.526260481685598,691.3190646540078,682.8399386625653,50.570251163346846
2022-06-30,784,11.3347022587269,181,6.7208987911711455,6.720710388211169,6.547566997147164,6.509898139352832,697.544978657695,671.7579884025937,49.93313379903848
2022-07-31,782,11.419575633127995,212,4.21304899814164,4.212749203622177,6.597145832545307,6.498459928268388,733.0000957728006,664.1180556114385,45.83402181743354
2022-08-31,836,11.50444900752909,243,4.313391392149439,4.312967536418626,6.592242018949395,6.498033212400936,729.4143989173909,663.8347263540921,46.34255796782698
2022-09-30,760,11.586584531143053,273,5.617505995203837,5.617324322360294,6.566366028776546,6.508192431434119,710.7821822415165,670.6131421465504,48.797708954189
2022-10-31,786,11.671457905544148,304,5.4168878637547975,5.416735314038846,6.583160982511943,6.523243771589647,722.8205450101913,680.7831125096463,48.21751534526018
